,coref_local,coref_global,n_constituents,n_noun_phrases,n_verb_phrases,n_sub_clauses,n_prep_phrases,mean_np_length,mean_vp_length
127,0.75,0.41025641025641024,142.0,66.0,47.0,10.0,19.0,2.090909090909091,7.276595744680851
128,0.034482758620689655,0.016091954022988506,111.0,64.0,27.0,2.0,18.0,3.578125,5.888888888888889
129,0.03571428571428571,0.0812807881773399,100.0,54.0,30.0,5.0,11.0,3.1481481481481484,9.633333333333333
130,0.8461538461538461,0.7802197802197802,146.0,64.0,52.0,5.0,25.0,1.828125,7.5
131,0.23529411764705882,0.24183006535947713,158.0,67.0,56.0,19.0,16.0,2.5223880597014925,5.910714285714286
132,0.375,0.4411764705882353,172.0,98.0,37.0,10.0,27.0,3.0816326530612246,5.972972972972973
133,0.11764705882352941,0.0718954248366013,128.0,64.0,36.0,4.0,24.0,2.984375,7.277777777777778
134,0.5714285714285714,0.4458874458874459,152.0,69.0,57.0,2.0,24.0,2.0434782608695654,4.947368421052632
135,0.08571428571428572,0.11904761904761904,137.0,67.0,47.0,10.0,13.0,1.7014925373134329,4.9361702127659575
136,0.23529411764705882,0.11764705882352941,184.0,84.0,65.0,9.0,26.0,2.4285714285714284,7.153846153846154
137,0.21875,0.16287878787878787,113.0,59.0,38.0,8.0,8.0,1.6101694915254237,6.2894736842105265
138,1.0,0.9090909090909091,174.0,68.0,74.0,23.0,9.0,2.25,6.743243243243243
